ts_code,trade_date,pe_ttm,pb,ps_ttm,total_mv,circ_mv
920230.BJ,20251105,219.4526,3.7785,5.1971,154097.7674,71464.7914
300481.SZ,20251105,30.1506,1.8846,3.244,452959.6398,450197.3684
920765.BJ,20251105,,7.3217,4.4029,225703.2234,139840.8704
920030.BJ,20251105,,2.9593,0.5395,134129.7608,84023.3678
603206.SH,20251105,102.8807,2.2413,1.2246,508463.18,508463.18
601077.SH,20251105,6.7769,0.6129,2.8388,8063470.0,6275152.1104
300738.SZ,20251105,116.8918,5.4429,7.9439,1912216.2103,1911674.7412
603977.SH,20251105,54.4874,2.4776,3.6826,829357.8404,829357.8404
600801.SH,20251105,14.5456,1.5118,1.3823,4773374.0101,3086456.8901
603262.SH,20251105,76.3304,7.6818,11.1342,1178029.45,114273.7895
601020.SH,20251105,24.8247,5.2326,10.4251,2238503.6255,2238503.6255
603578.SH,20251105,,2.483,1.6751,243481.9932,243481.9932
000838.SZ,20251105,,8.5839,11.9814,352147.8944,337205.0736
603052.SH,20251105,183.3643,5.7517,7.0056,625697.9491,625697.9491
300748.SZ,20251105,81.3911,7.0739,6.9666,4961750.5943,4078342.4634
001326.SZ,20251105,129.6991,2.866,2.3453,347700.0,114490.8128
001279.SZ,20251105,106.0745,6.1418,4.3194,619040.0,154760.0
