rebalance_date,ticker,profitability_proxy,cashflow_proxy,leverage_proxy,stability_proxy,quality_score,factor_value,report_period,ann_date,known_at,available_at,factor_id,factor_name
20260331,600050,0.1245,0.2413,43.1089,1.2596,-0.94623,-0.94623,20260331,20260422,20260422,20260422,F06,FUNDAMENTAL_QUALITY
20260331,600051,0.0182,0.1938,18.4113,0.1578,-0.05194,-0.05194,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
20260331,600052,-0.0782,0.0077,13.4804,0.8988,0.14783,0.14783,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
20260331,600053,-0.1538,-0.0778,19.4074,1.525,-0.07215,-0.07215,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600054,0.0721,0.0811,16.7059,0.7227,0.03678,0.03678,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600055,-0.0364,-0.3272,15.6986,0.3581,-0.03973,-0.03973,20260331,20260425,20260425,20260425,F06,FUNDAMENTAL_QUALITY
20260331,600056,0.1516,-0.9502,61.041,1.5276,-1.88116,-1.88116,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,600057,0.2342,-2.7138,70.1093,1.5875,-2.58428,-2.58428,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600058,0.0031,-1.9086,68.6277,0.229,-2.47768,-2.47768,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600059,0.108,-0.2622,11.3105,1.0547,0.20966,0.20966,20260331,20260423,20260423,20260423,F06,FUNDAMENTAL_QUALITY
20260331,600060,0.2709,0.5778,40.7544,2.7414,-0.67135,-0.67135,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,600061,0.1385,2.4914,83.7749,1.3433,-2.1159,-2.1159,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600062,0.4022,0.1643,27.7932,4.0825,-0.13308,-0.13308,20260331,20260425,20260425,20260425,F06,FUNDAMENTAL_QUALITY
