ticker,report_period,ann_date,known_at,available_at,source_file,source_mode
000717,20260331,20260424,20260424,20260424,000717_fin.csv,REAL_FUNDAMENTALS
000718,20260331,20260430,20260430,20260430,000718_fin.csv,REAL_FUNDAMENTALS
000719,20260331,20260427,20260427,20260427,000719_fin.csv,REAL_FUNDAMENTALS
000720,20260331,20260429,20260429,20260429,000720_fin.csv,REAL_FUNDAMENTALS
000721,20260331,20260424,20260424,20260424,000721_fin.csv,REAL_FUNDAMENTALS
000722,20260331,20260430,20260430,20260430,000722_fin.csv,REAL_FUNDAMENTALS
000723,20260331,20260425,20260425,20260425,000723_fin.csv,REAL_FUNDAMENTALS
000725,20260331,20260430,20260430,20260430,000725_fin.csv,REAL_FUNDAMENTALS
000726,20260331,20260430,20260430,20260430,000726_fin.csv,REAL_FUNDAMENTALS
000727,20260331,20260428,20260428,20260428,000727_fin.csv,REAL_FUNDAMENTALS
000728,20260331,20260421,20260421,20260421,000728_fin.csv,REAL_FUNDAMENTALS
000729,20260331,20260424,20260424,20260424,000729_fin.csv,REAL_FUNDAMENTALS
000731,20260331,20260428,20260428,20260428,000731_fin.csv,REAL_FUNDAMENTALS
000733,20260331,20260429,20260429,20260429,000733_fin.csv,REAL_FUNDAMENTALS
000735,20260331,20260428,20260428,20260428,000735_fin.csv,REAL_FUNDAMENTALS
000736,20260331,20260427,20260427,20260427,000736_fin.csv,REAL_FUNDAMENTALS
000737,20260331,20260430,20260430,20260430,000737_fin.csv,REAL_FUNDAMENTALS
000738,20260331,20260427,20260427,20260427,000738_fin.csv,REAL_FUNDAMENTALS
000739,20260331,20260421,20260421,20260421,000739_fin.csv,REAL_FUNDAMENTALS
000750,20260331,20260430,20260430,20260430,000750_fin.csv,REAL_FUNDAMENTALS
000751,20260331,20260424,20260424,20260424,000751_fin.csv,REAL_FUNDAMENTALS
000752,20260331,20260427,20260427,20260427,000752_fin.csv,REAL_FUNDAMENTALS
000753,20260331,20260425,20260425,20260425,000753_fin.csv,REAL_FUNDAMENTALS
000755,20260331,20260425,20260425,20260425,000755_fin.csv,REAL_FUNDAMENTALS
000756,20260331,20260429,20260429,20260429,000756_fin.csv,REAL_FUNDAMENTALS
000757,20260331,20260425,20260425,20260425,000757_fin.csv,REAL_FUNDAMENTALS
000758,20260331,20260428,20260428,20260428,000758_fin.csv,REAL_FUNDAMENTALS
000759,20260331,20260430,20260430,20260430,000759_fin.csv,REAL_FUNDAMENTALS
000761,20260331,20260428,20260428,20260428,000761_fin.csv,REAL_FUNDAMENTALS
000762,20260331,20260424,20260424,20260424,000762_fin.csv,REAL_FUNDAMENTALS
000766,20260331,20260428,20260428,20260428,000766_fin.csv,REAL_FUNDAMENTALS
000767,20260331,20260423,20260423,20260423,000767_fin.csv,REAL_FUNDAMENTALS
000768,20260331,20260429,20260429,20260429,000768_fin.csv,REAL_FUNDAMENTALS
000776,20260331,20260428,20260428,20260428,000776_fin.csv,REAL_FUNDAMENTALS
000777,20260331,20260428,20260428,20260428,000777_fin.csv,REAL_FUNDAMENTALS
000778,20260331,20260428,20260428,20260428,000778_fin.csv,REAL_FUNDAMENTALS
000779,20260331,20260427,20260427,20260427,000779_fin.csv,REAL_FUNDAMENTALS
000782,20260331,20260430,20260430,20260430,000782_fin.csv,REAL_FUNDAMENTALS
000783,20260331,20260430,20260430,20260430,000783_fin.csv,REAL_FUNDAMENTALS
000785,20260331,20260429,20260429,20260429,000785_fin.csv,REAL_FUNDAMENTALS
000786,20260331,20260429,20260429,20260429,000786_fin.csv,REAL_FUNDAMENTALS
000788,20260331,20260428,20260428,20260428,000788_fin.csv,REAL_FUNDAMENTALS
000789,20260331,20260428,20260428,20260428,000789_fin.csv,REAL_FUNDAMENTALS
000790,20260331,20260430,20260430,20260430,000790_fin.csv,REAL_FUNDAMENTALS
000791,20260331,20260430,20260430,20260430,000791_fin.csv,REAL_FUNDAMENTALS
000792,20260331,20260430,20260430,20260430,000792_fin.csv,REAL_FUNDAMENTALS
000793,20260331,20260430,20260430,20260430,000793_fin.csv,REAL_FUNDAMENTALS
000795,20260331,20260424,20260424,20260424,000795_fin.csv,REAL_FUNDAMENTALS
000796,20260331,20260429,20260429,20260429,000796_fin.csv,REAL_FUNDAMENTALS
000797,20260331,20260428,20260428,20260428,000797_fin.csv,REAL_FUNDAMENTALS
000798,20260331,20260424,20260424,20260424,000798_fin.csv,REAL_FUNDAMENTALS
000799,20260331,20260429,20260429,20260429,000799_fin.csv,REAL_FUNDAMENTALS
000800,20260331,20260430,20260430,20260430,000800_fin.csv,REAL_FUNDAMENTALS
000801,20260331,20260428,20260428,20260428,000801_fin.csv,REAL_FUNDAMENTALS
000802,20260331,20260425,20260425,20260425,000802_fin.csv,REAL_FUNDAMENTALS
000803,20260331,20260429,20260429,20260429,000803_fin.csv,REAL_FUNDAMENTALS
000807,20260331,20260424,20260424,20260424,000807_fin.csv,REAL_FUNDAMENTALS
000809,20260331,20260428,20260428,20260428,000809_fin.csv,REAL_FUNDAMENTALS
000810,20260331,20260421,20260421,20260421,000810_fin.csv,REAL_FUNDAMENTALS
000811,20260331,20260430,20260430,20260430,000811_fin.csv,REAL_FUNDAMENTALS
000812,20260331,20260424,20260424,20260424,000812_fin.csv,REAL_FUNDAMENTALS
000813,20260331,20260425,20260425,20260425,000813_fin.csv,REAL_FUNDAMENTALS
000815,20260331,20260424,20260424,20260424,000815_fin.csv,REAL_FUNDAMENTALS
000816,20260331,20260425,20260425,20260425,000816_fin.csv,REAL_FUNDAMENTALS
000818,20260331,20260429,20260429,20260429,000818_fin.csv,REAL_FUNDAMENTALS
000819,20260331,20260428,20260428,20260428,000819_fin.csv,REAL_FUNDAMENTALS
000820,20260331,20260429,20260429,20260429,000820_fin.csv,REAL_FUNDAMENTALS
000821,20260331,20260425,20260425,20260425,000821_fin.csv,REAL_FUNDAMENTALS
000822,20260331,20260425,20260425,20260425,000822_fin.csv,REAL_FUNDAMENTALS
000823,20260331,20260425,20260425,20260425,000823_fin.csv,REAL_FUNDAMENTALS
000825,20260331,20260428,20260428,20260428,000825_fin.csv,REAL_FUNDAMENTALS
000826,20260331,20260429,20260429,20260429,000826_fin.csv,REAL_FUNDAMENTALS
000828,20260331,20260427,20260427,20260427,000828_fin.csv,REAL_FUNDAMENTALS
000829,20260331,20260429,20260429,20260429,000829_fin.csv,REAL_FUNDAMENTALS
000830,20260331,20260429,20260429,20260429,000830_fin.csv,REAL_FUNDAMENTALS
000831,20260331,20260428,20260428,20260428,000831_fin.csv,REAL_FUNDAMENTALS
000833,20260331,20260424,20260424,20260424,000833_fin.csv,REAL_FUNDAMENTALS
000837,20260331,20260430,20260430,20260430,000837_fin.csv,REAL_FUNDAMENTALS
000838,20260331,20260430,20260430,20260430,000838_fin.csv,REAL_FUNDAMENTALS
000839,20260331,20260428,20260428,20260428,000839_fin.csv,REAL_FUNDAMENTALS
000848,20260331,20260428,20260428,20260428,000848_fin.csv,REAL_FUNDAMENTALS
000850,20260331,20260428,20260428,20260428,000850_fin.csv,REAL_FUNDAMENTALS
000852,20260331,20260424,20260424,20260424,000852_fin.csv,REAL_FUNDAMENTALS
000856,20260331,20260428,20260428,20260428,000856_fin.csv,REAL_FUNDAMENTALS
000858,20260331,20260430,20260430,20260430,000858_fin.csv,REAL_FUNDAMENTALS
000859,20260331,20260430,20260430,20260430,000859_fin.csv,REAL_FUNDAMENTALS
000860,20260331,20260429,20260429,20260429,000860_fin.csv,REAL_FUNDAMENTALS
000862,20260331,20260423,20260423,20260423,000862_fin.csv,REAL_FUNDAMENTALS
