rebalance_date,ticker,profitability_proxy,cashflow_proxy,leverage_proxy,stability_proxy,quality_score,factor_value,ann_date,known_at,available_at,factor_id
20260430,002493,4.14461,0.8546,74.9408,0.5286,-5.868337,-5.868337,20260428,20260428,20260428,F06
20260430,002494,1.00661,0.0952,13.6517,0.0395,-1.028347,-1.028347,20260430,20260430,20260430,F06
20260430,002495,0.34839,0.0295,9.318,0.0042,-0.819703,-0.819703,20260429,20260429,20260429,F06
20260430,002496,0.17391,-0.0043,46.3672,0.0006,-4.585167,-4.585167,20260427,20260427,20260427,F06
20260430,002497,3.5604,-0.3736,24.9725,0.5648,-1.27793,-1.27793,20260427,20260427,20260427,F06
20260430,002498,1.45113,-0.3832,33.3897,0.0832,-2.946991,-2.946991,20260429,20260429,20260429,F06
20260430,002500,1.75022,1.5072,79.0791,0.1288,-7.029884,-7.029884,20260428,20260428,20260428,F06
20260430,002501,-3.85824,-0.0103,82.7006,-0.0038,-9.431112,-9.431112,20260429,20260429,20260429,F06
20260430,002506,-9.00042,-0.0222,94.4877,-0.0364,-12.167896,-12.167896,20260429,20260429,20260429,F06
20260430,002507,3.16892,0.1451,6.9657,0.4528,0.464246,0.464246,20260427,20260427,20260427,F06
20260430,002508,3.9107,-0.4458,28.7051,0.6163,-1.53994,-1.53994,20260429,20260429,20260429,F06
20260430,002510,0.79433,0.0268,58.1487,0.0249,-5.561251,-5.561251,20260430,20260430,20260430,F06
20260430,002511,1.8199,0.1316,32.1736,0.145,-2.58707,-2.58707,20260428,20260428,20260428,F06
20260430,002512,5.99967,0.0317,84.2727,0.0408,-6.604709,-6.604709,20260429,20260429,20260429,F06
20260430,002513,-17.70589,0.1339,91.4342,-0.0434,-14.445767,-14.445767,20260430,20260430,20260430,F06
20260430,002514,-0.01988,0.0052,103.632,-0.0162,-10.374604,-10.374604,20260430,20260430,20260430,F06
20260430,002515,0.68313,0.026,3.4577,0.0168,-0.128911,-0.128911,20260428,20260428,20260428,F06
20260430,002516,1.25195,0.0397,17.2471,0.0689,-1.313625,-1.313625,20260425,20260425,20260425,F06
20260430,002517,4.93375,0.2003,22.4364,0.6767,-0.452775,-0.452775,20260429,20260429,20260429,F06
20260430,002518,3.19555,0.1941,37.4525,0.4549,-2.565805,-2.565805,20260427,20260427,20260427,F06
20260430,002519,0.43033,0.0073,34.0876,0.0023,-3.277281,-3.277281,20260425,20260425,20260425,F06
20260430,002520,6.12617,0.024,83.9049,0.0577,-6.524759,-6.524759,20260429,20260429,20260429,F06
20260430,002521,1.95041,0.3412,26.415,0.1314,-1.935577,-1.935577,20260428,20260428,20260428,F06
20260430,002522,0.84953,0.0259,32.8705,0.0344,-3.013251,-3.013251,20260429,20260429,20260429,F06
20260430,002523,0.71909,0.0091,46.6763,0.0213,-4.441563,-4.441563,20260424,20260424,20260424,F06
20260430,002524,-2.00903,0.0137,91.8664,-0.0115,-9.791209,-9.791209,20260428,20260428,20260428,F06
20260430,002526,0.52108,-0.0496,38.5207,0.0092,-3.701986,-3.701986,20260429,20260429,20260429,F06
20260430,002527,0.07084,-0.1025,67.3288,-0.0187,-6.739608,-6.739608,20260428,20260428,20260428,F06
20260430,002528,-0.02675,-0.0052,110.046,-0.0147,-11.019545,-11.019545,20260429,20260429,20260429,F06
20260430,002529,-11.26353,-0.2264,88.7306,-0.0964,-12.335959,-12.335959,20260427,20260427,20260427,F06
20260430,002530,0.95376,-0.0163,32.3366,0.0343,-2.937072,-2.937072,20260430,20260430,20260430,F06
20260430,002531,1.2108,-0.1316,64.7507,0.0421,-6.12131,-6.12131,20260430,20260430,20260430,F06
20260430,002532,5.14134,0.5059,39.9421,0.8982,-1.991348,-1.991348,20260429,20260429,20260429,F06
20260430,002533,2.73292,-3.1264,61.4,0.3367,-5.810724,-5.810724,20260430,20260430,20260430,F06
20260430,002534,1.91059,0.076,56.6172,0.131,-5.020943,-5.020943,20260428,20260428,20260428,F06
20260430,002535,0.59494,0.0778,83.9432,0.0094,-8.196518,-8.196518,20260429,20260429,20260429,F06
20260430,002536,2.0778,-0.2364,43.1966,0.1871,-3.66876,-3.66876,20260423,20260423,20260423,F06
20260430,002537,1.35867,-0.1881,49.3335,0.0894,-4.527609,-4.527609,20260430,20260430,20260430,F06
20260430,002538,1.92229,0.3883,21.0999,0.1508,-1.395323,-1.395323,20260429,20260429,20260429,F06
20260430,002539,3.27183,-0.4231,64.5157,0.4724,-5.365681,-5.365681,20260429,20260429,20260429,F06
20260430,002540,1.2671,-0.0426,35.6984,0.0584,-3.17487,-3.17487,20260421,20260421,20260421,F06
20260430,002541,3.65505,-1.3044,64.4755,0.4154,-5.445755,-5.445755,20260429,20260429,20260429,F06
20260430,002542,-0.0239,-0.0442,103.5592,-0.0184,-10.37929,-10.37929,20260428,20260428,20260428,F06
20260430,002543,2.15862,0.1826,42.5397,0.2053,-3.487744,-3.487744,20260428,20260428,20260428,F06
20260430,002544,0.86565,-0.6689,55.846,-0.0448,-5.476605,-5.476605,20260425,20260425,20260425,F06
20260430,002545,3.75119,0.3984,29.7791,0.6109,-1.528513,-1.528513,20260430,20260430,20260430,F06
20260430,002546,2.15166,0.0178,8.4926,0.2006,-0.119962,-0.119962,20260416,20260416,20260416,F06
20260430,002547,-0.0908,0.0984,110.1157,-0.032,-11.03193,-11.03193,20260429,20260429,20260429,F06
20260430,002548,-7.93523,-0.0365,78.8329,-0.3584,-10.414519,-10.414519,20260428,20260428,20260428,F06
20260430,002549,0.86087,-0.0102,28.4325,0.0269,-2.576269,-2.576269,20260422,20260422,20260422,F06
20260430,002550,1.97925,0.108,11.7522,0.1146,-0.514005,-0.514005,20260424,20260424,20260424,F06
20260430,002551,0.54881,-0.0306,19.5586,-0.0037,-1.798817,-1.798817,20260428,20260428,20260428,F06
20260430,002552,3.01392,0.1313,58.3176,0.3062,-4.778844,-4.778844,20260428,20260428,20260428,F06
20260430,002553,0.89782,0.0647,16.1437,0.0013,-1.331564,-1.331564,20260430,20260430,20260430,F06
20260430,002554,-0.42476,-0.1679,65.1738,-0.0318,-6.691108,-6.691108,20260425,20260425,20260425,F06
20260430,002555,4.54611,0.1659,34.7936,0.747,-1.783547,-1.783547,20260428,20260428,20260428,F06
20260430,002556,1.52873,-0.6037,66.8455,0.1077,-6.303591,-6.303591,20260428,20260428,20260428,F06
20260430,002557,3.8012,0.0827,42.6307,0.637,-2.85137,-2.85137,20260421,20260421,20260421,F06
20260430,002558,5.29519,0.6954,19.8603,1.0805,0.173807,0.173807,20260428,20260428,20260428,F06
20260430,002559,1.56984,0.0075,61.2603,0.1042,-5.611898,-5.611898,20260430,20260430,20260430,F06
20260430,002560,1.59128,-0.5532,51.4277,0.1012,-4.735546,-4.735546,20260428,20260428,20260428,F06
20260430,002561,1.02864,-0.0205,13.5875,-0.0028,-1.055378,-1.055378,20260425,20260425,20260425,F06
20260430,002562,1.13141,0.0296,40.418,0.0543,-3.674737,-3.674737,20260427,20260427,20260427,F06
20260430,002563,2.25304,0.124,34.8658,0.2175,-2.698868,-2.698868,20260429,20260429,20260429,F06
20260430,002564,0.91232,-0.225,91.6336,0.0047,-8.932784,-8.932784,20260430,20260430,20260430,F06
20260430,002565,0.90024,0.056,25.4577,0.0309,-2.252138,-2.252138,20260428,20260428,20260428,F06
20260430,002566,1.73339,0.0955,21.9787,0.0913,-1.622233,-1.622233,20260425,20260425,20260425,F06
20260430,002567,-6.58721,0.0432,69.642,-0.7665,-9.238323,-9.238323,20260429,20260429,20260429,F06
20260430,002568,3.16606,0.1624,39.5312,0.384,-2.817222,-2.817222,20260429,20260429,20260429,F06
20260430,002569,-4.94329,0.0388,82.3342,-0.0353,-9.722767,-9.722767,20260430,20260430,20260430,F06
20260430,002570,1.51128,0.067,56.1395,0.0641,-5.121526,-5.121526,20260428,20260428,20260428,F06
20260430,002571,-0.72941,-0.0079,71.6138,-0.077,-7.412583,-7.412583,20260428,20260428,20260428,F06
