ticker,rebalance_date,horizon,forward_return,label_available_at,label_role
688347,20251009,60D,,,OUTCOME_LABEL_ONLY
601919,20251009,5D,0.04242,20251016,OUTCOME_LABEL_ONLY
601919,20251009,20D,0.053547,20251106,OUTCOME_LABEL_ONLY
601919,20251009,60D,,,OUTCOME_LABEL_ONLY
000001,20251009,5D,0.012281,20251016,OUTCOME_LABEL_ONLY
000001,20251009,20D,0.009649,20251106,OUTCOME_LABEL_ONLY
000001,20251009,60D,,,OUTCOME_LABEL_ONLY
600309,20251009,5D,-0.069984,20251016,OUTCOME_LABEL_ONLY
600309,20251009,20D,-0.08903,20251106,OUTCOME_LABEL_ONLY
600309,20251009,60D,,,OUTCOME_LABEL_ONLY
601633,20251009,5D,-0.045657,20251016,OUTCOME_LABEL_ONLY
601633,20251009,20D,-0.078384,20251106,OUTCOME_LABEL_ONLY
601633,20251009,60D,,,OUTCOME_LABEL_ONLY
601066,20251009,5D,-0.002982,20251016,OUTCOME_LABEL_ONLY
601066,20251009,20D,-0.038017,20251106,OUTCOME_LABEL_ONLY
601066,20251009,60D,,,OUTCOME_LABEL_ONLY
002050,20251009,5D,-0.130998,20251016,OUTCOME_LABEL_ONLY
002050,20251009,20D,0.01964,20251106,OUTCOME_LABEL_ONLY
002050,20251009,60D,,,OUTCOME_LABEL_ONLY
300033,20251009,5D,-0.065923,20251016,OUTCOME_LABEL_ONLY
300033,20251009,20D,-0.053065,20251106,OUTCOME_LABEL_ONLY
300033,20251009,60D,,,OUTCOME_LABEL_ONLY
002352,20251009,5D,0.009889,20251016,OUTCOME_LABEL_ONLY
002352,20251009,20D,-0.010383,20251106,OUTCOME_LABEL_ONLY
002352,20251009,60D,,,OUTCOME_LABEL_ONLY
601688,20251009,5D,-0.015625,20251016,OUTCOME_LABEL_ONLY
601688,20251009,20D,0.002679,20251106,OUTCOME_LABEL_ONLY
601688,20251009,60D,,,OUTCOME_LABEL_ONLY
600760,20251009,5D,-0.057155,20251016,OUTCOME_LABEL_ONLY
600760,20251009,20D,-0.148153,20251106,OUTCOME_LABEL_ONLY
600760,20251009,60D,,,OUTCOME_LABEL_ONLY
600104,20251009,5D,-0.041667,20251016,OUTCOME_LABEL_ONLY
600104,20251009,20D,-0.093607,20251106,OUTCOME_LABEL_ONLY
600104,20251009,60D,,,OUTCOME_LABEL_ONLY
688012,20251009,5D,-0.140108,20251016,OUTCOME_LABEL_ONLY
688012,20251009,20D,-0.041083,20251106,OUTCOME_LABEL_ONLY
688012,20251009,60D,,,OUTCOME_LABEL_ONLY
600547,20251009,5D,-0.078363,20251016,OUTCOME_LABEL_ONLY
600547,20251009,20D,-0.186778,20251106,OUTCOME_LABEL_ONLY
600547,20251009,60D,,,OUTCOME_LABEL_ONLY
601818,20251009,5D,0.032738,20251016,OUTCOME_LABEL_ONLY
601818,20251009,20D,0.02381,20251106,OUTCOME_LABEL_ONLY
601818,20251009,60D,,,OUTCOME_LABEL_ONLY
601225,20251009,5D,0.10382,20251016,OUTCOME_LABEL_ONLY
601225,20251009,20D,0.179236,20251106,OUTCOME_LABEL_ONLY
601225,20251009,60D,,,OUTCOME_LABEL_ONLY
600031,20251009,5D,0.0142,20251016,OUTCOME_LABEL_ONLY
600031,20251009,20D,-0.053787,20251106,OUTCOME_LABEL_ONLY
600031,20251009,60D,,,OUTCOME_LABEL_ONLY
601881,20251009,5D,0.020752,20251016,OUTCOME_LABEL_ONLY
601881,20251009,20D,-0.020191,20251106,OUTCOME_LABEL_ONLY
601881,20251009,60D,,,OUTCOME_LABEL_ONLY
003816,20251009,5D,0.052356,20251016,OUTCOME_LABEL_ONLY
003816,20251009,20D,0.075916,20251106,OUTCOME_LABEL_ONLY
003816,20251009,60D,,,OUTCOME_LABEL_ONLY
601336,20251009,5D,0.111237,20251016,OUTCOME_LABEL_ONLY
601336,20251009,20D,0.096988,20251106,OUTCOME_LABEL_ONLY
601336,20251009,60D,,,OUTCOME_LABEL_ONLY
600111,20251009,5D,0.000376,20251016,OUTCOME_LABEL_ONLY
600111,20251009,20D,-0.096744,20251106,OUTCOME_LABEL_ONLY
600111,20251009,60D,,,OUTCOME_LABEL_ONLY
000568,20251009,5D,0.055367,20251016,OUTCOME_LABEL_ONLY
000568,20251009,20D,0.015709,20251106,OUTCOME_LABEL_ONLY
000568,20251009,60D,,,OUTCOME_LABEL_ONLY
600406,20251009,5D,0.022241,20251016,OUTCOME_LABEL_ONLY
600406,20251009,20D,0.08426,20251106,OUTCOME_LABEL_ONLY
600406,20251009,60D,,,OUTCOME_LABEL_ONLY
600660,20251009,5D,-0.06956,20251016,OUTCOME_LABEL_ONLY
600660,20251009,20D,-0.060796,20251106,OUTCOME_LABEL_ONLY
600660,20251009,60D,,,OUTCOME_LABEL_ONLY
601985,20251009,5D,0.006586,20251016,OUTCOME_LABEL_ONLY
601985,20251009,20D,0.006586,20251106,OUTCOME_LABEL_ONLY
