rebalance_date,ticker,outcome_20d_return,outcome_60d_return,label_known_after,role
20210831,000692,0.24359,0.195513,20211202,OUTCOME_LABEL_ONLY
20210831,000695,0.13363,0.069042,20211202,OUTCOME_LABEL_ONLY
20210831,000697,-0.135135,-0.061622,20211202,OUTCOME_LABEL_ONLY
20210831,000698,-0.109722,-0.188889,20211202,OUTCOME_LABEL_ONLY
20210831,000700,-0.19376,-0.183908,20211202,OUTCOME_LABEL_ONLY
20210831,000701,0.004,0.024,20211202,OUTCOME_LABEL_ONLY
20210831,000702,-0.013187,0.052747,20211202,OUTCOME_LABEL_ONLY
20210831,000703,-0.018771,-0.093003,20211202,OUTCOME_LABEL_ONLY
20210831,000705,0.027137,0.0,20211202,OUTCOME_LABEL_ONLY
20210831,000707,0.180519,0.007792,20211202,OUTCOME_LABEL_ONLY
20210831,000708,-0.195447,-0.189953,20211202,OUTCOME_LABEL_ONLY
20210831,000709,-0.108974,-0.237179,20211202,OUTCOME_LABEL_ONLY
20210831,000710,-0.064136,0.06719,20211202,OUTCOME_LABEL_ONLY
20210831,000711,-0.095385,-0.150769,20211202,OUTCOME_LABEL_ONLY
20210831,000712,-0.017341,-0.008349,20211202,OUTCOME_LABEL_ONLY
20210831,000713,-0.002191,-0.013143,20211202,OUTCOME_LABEL_ONLY
20210831,000715,-0.010638,-0.014894,20211202,OUTCOME_LABEL_ONLY
20210831,000716,0.009375,0.015625,20211202,OUTCOME_LABEL_ONLY
20210831,000717,-0.041818,-0.236364,20211202,OUTCOME_LABEL_ONLY
20210831,000718,-0.0625,-0.134766,20211202,OUTCOME_LABEL_ONLY
20210831,000719,0.001477,0.05613,20211202,OUTCOME_LABEL_ONLY
20210831,000720,0.146396,0.331081,20211202,OUTCOME_LABEL_ONLY
20210831,000721,-0.036855,-0.088452,20211202,OUTCOME_LABEL_ONLY
20210831,000722,0.243161,0.196049,20211202,OUTCOME_LABEL_ONLY
20210831,000723,-0.225737,0.143781,20211202,OUTCOME_LABEL_ONLY
20210831,000725,-0.132302,-0.166667,20211202,OUTCOME_LABEL_ONLY
20210831,000726,0.033451,0.073944,20211202,OUTCOME_LABEL_ONLY
20210831,000727,-0.060606,-0.003788,20211202,OUTCOME_LABEL_ONLY
20210831,000728,-0.015248,-0.045743,20211202,OUTCOME_LABEL_ONLY
20210831,000729,-0.017991,0.016492,20211202,OUTCOME_LABEL_ONLY
20210831,000731,0.387468,0.126598,20211202,OUTCOME_LABEL_ONLY
20210831,000733,-0.127232,-0.015937,20211202,OUTCOME_LABEL_ONLY
20210831,000735,0.02819,0.02819,20211202,OUTCOME_LABEL_ONLY
20210831,000736,-0.050654,-0.163399,20211202,OUTCOME_LABEL_ONLY
20210831,000737,0.005952,-0.095238,20211202,OUTCOME_LABEL_ONLY
20210831,000738,-0.074587,0.160707,20211202,OUTCOME_LABEL_ONLY
20210831,000739,0.208228,0.250633,20211202,OUTCOME_LABEL_ONLY
20210831,000750,-0.007246,-0.045894,20211202,OUTCOME_LABEL_ONLY
20210831,000751,-0.222846,-0.273408,20211202,OUTCOME_LABEL_ONLY
20210831,000752,-0.089041,-0.017123,20211202,OUTCOME_LABEL_ONLY
20210831,000753,0.01476,0.118081,20211202,OUTCOME_LABEL_ONLY
20210831,000755,0.033333,0.261111,20211202,OUTCOME_LABEL_ONLY
20210831,000756,-0.017522,0.115144,20211202,OUTCOME_LABEL_ONLY
20210831,000757,0.065163,0.135338,20211202,OUTCOME_LABEL_ONLY
20210831,000758,-0.217753,-0.226075,20211202,OUTCOME_LABEL_ONLY
20210831,000759,-0.00813,-0.014228,20211202,OUTCOME_LABEL_ONLY
20210831,000761,-0.128981,-0.332803,20211202,OUTCOME_LABEL_ONLY
20210831,000762,-0.284644,-0.247449,20211202,OUTCOME_LABEL_ONLY
20210831,000766,-0.1,-0.1,20211202,OUTCOME_LABEL_ONLY
20210831,000767,0.422442,0.029703,20211202,OUTCOME_LABEL_ONLY
20210831,000768,0.026464,0.288124,20211202,OUTCOME_LABEL_ONLY
20210831,000776,0.103739,0.298578,20211202,OUTCOME_LABEL_ONLY
20210831,000777,0.204969,0.396628,20211202,OUTCOME_LABEL_ONLY
20210831,000778,-0.02027,-0.135135,20211202,OUTCOME_LABEL_ONLY
20210831,000779,-0.082789,-0.055556,20211202,OUTCOME_LABEL_ONLY
20210831,000782,0.113208,0.140461,20211202,OUTCOME_LABEL_ONLY
20210831,000783,0.022727,-0.02139,20211202,OUTCOME_LABEL_ONLY
20210831,000785,0.024345,-0.095506,20211202,OUTCOME_LABEL_ONLY
20210831,000786,-0.034743,-0.163746,20211202,OUTCOME_LABEL_ONLY
20210831,000788,-0.072546,-0.081081,20211202,OUTCOME_LABEL_ONLY
20210831,000789,0.107679,0.002504,20211202,OUTCOME_LABEL_ONLY
20210831,000790,0.020121,0.086519,20211202,OUTCOME_LABEL_ONLY
20210831,000791,0.451327,0.422566,20211202,OUTCOME_LABEL_ONLY
20210831,000792,-0.248179,-0.302688,20211202,OUTCOME_LABEL_ONLY
20210831,000793,0.0,0.021008,20211202,OUTCOME_LABEL_ONLY
20210831,000795,-0.183962,0.515723,20211202,OUTCOME_LABEL_ONLY
20210831,000796,-0.059133,-0.039422,20211202,OUTCOME_LABEL_ONLY
20210831,000797,-0.007194,-0.097122,20211202,OUTCOME_LABEL_ONLY
20210831,000798,-0.058599,-0.096815,20211202,OUTCOME_LABEL_ONLY
20210831,000799,0.182595,0.135144,20211202,OUTCOME_LABEL_ONLY
20210831,000800,-0.038462,-0.053667,20211202,OUTCOME_LABEL_ONLY
20210831,000801,-0.137672,-0.013767,20211202,OUTCOME_LABEL_ONLY
20210831,000802,0.191489,0.210402,20211202,OUTCOME_LABEL_ONLY
20210831,000803,-0.05041,0.228605,20211202,OUTCOME_LABEL_ONLY
20210831,000807,-0.155467,-0.386105,20211202,OUTCOME_LABEL_ONLY
20210831,000809,0.406542,0.420561,20211202,OUTCOME_LABEL_ONLY
20210831,000810,-0.102731,0.128739,20211202,OUTCOME_LABEL_ONLY
20210831,000811,-0.104491,0.288428,20211202,OUTCOME_LABEL_ONLY
20210831,000812,-0.040698,0.930233,20211202,OUTCOME_LABEL_ONLY
20210831,000813,-0.021583,-0.038369,20211202,OUTCOME_LABEL_ONLY
20210831,000815,-0.146814,-0.121884,20211202,OUTCOME_LABEL_ONLY
20210831,000816,0.094463,0.306189,20211202,OUTCOME_LABEL_ONLY
20210831,000818,-0.099213,0.273386,20211202,OUTCOME_LABEL_ONLY
20210831,000819,0.031519,0.30086,20211202,OUTCOME_LABEL_ONLY
20210831,000820,-0.209932,-0.200903,20211202,OUTCOME_LABEL_ONLY
20210831,000821,-0.177083,-0.092525,20211202,OUTCOME_LABEL_ONLY
20210831,000822,-0.11358,-0.353909,20211202,OUTCOME_LABEL_ONLY
20210831,000823,-0.083042,0.156469,20211202,OUTCOME_LABEL_ONLY
20210831,000825,-0.039565,-0.274975,20211202,OUTCOME_LABEL_ONLY
20210831,000826,0.050302,-0.100604,20211202,OUTCOME_LABEL_ONLY
