rebalance_date,ticker,short_rank,medium_rank,rank_acceleration,turnover,price_momentum_20d,price_momentum_60d,known_at_max,feature_source_mode
20210831,000656,0.121495,-0.145907,0.2674,0.008359,0.121495,-0.145907,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000657,0.117421,0.739546,-0.6221,0.029952,0.117421,0.739546,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000659,0.006397,0.439024,-0.4326,0.018332,0.006397,0.439024,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000661,-0.196803,-0.398728,0.2019,0.016945,-0.196803,-0.398728,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000663,0.268478,0.242812,0.0257,0.008546,0.268478,0.242812,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000665,0.008174,-0.06801,0.0762,0.005018,0.008174,-0.06801,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000668,-0.104332,-0.206486,0.1022,0.006655,-0.104332,-0.206486,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000669,0.442211,0.420792,0.0214,0.114418,0.442211,0.420792,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000672,0.108595,-0.033418,0.142,0.018505,0.108595,-0.033418,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000676,0.438532,0.196947,0.2416,0.074986,0.438532,0.196947,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000677,0.070707,0.096552,-0.0258,0.010524,0.070707,0.096552,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000678,0.086066,0.104167,-0.0181,0.014788,0.086066,0.104167,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000679,0.047486,-0.125874,0.1734,0.006092,0.047486,-0.125874,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000680,0.112532,0.115385,-0.0029,0.040251,0.112532,0.115385,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000681,0.090517,-0.046722,0.1372,0.049867,0.090517,-0.046722,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000682,0.105263,0.119403,-0.0141,0.013822,0.105263,0.119403,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000683,0.607242,1.514161,-0.9069,0.067313,0.607242,1.514161,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000685,0.119497,0.057007,0.0625,0.0166,0.119497,0.057007,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000686,0.074214,-0.020642,0.0949,0.009679,0.074214,-0.020642,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000688,0.372119,0.375138,-0.003,0.020547,0.372119,0.375138,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000690,0.071017,0.058824,0.0122,0.012879,0.071017,0.058824,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000691,0.073593,-0.047985,0.1216,0.024716,0.073593,-0.047985,20210831,REAL_HISTORICAL_PRICE_BARS
