ticker,trade_date,open,high,low,close,volume,amount,source_name,source_type,source_file,source_hash,as_of_date,adjusted
002050,20240123,23.06,23.56,22.82,23.26,249595.98,579276.512,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/core12_daily_price_bar.csv,a0c457d1b0664de1033d0da4a6ba782578ab068f4307a0ac5c84c4fe927cfefd,2026-06-01,true
002050,20240124,23.28,23.46,22.23,23.15,410135.11,932173.886,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/core12_daily_price_bar.csv,a0c457d1b0664de1033d0da4a6ba782578ab068f4307a0ac5c84c4fe927cfefd,2026-06-01,true
002050,20240125,23.0,23.0,21.38,22.23,727887.26,1611158.864,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/core12_daily_price_bar.csv,a0c457d1b0664de1033d0da4a6ba782578ab068f4307a0ac5c84c4fe927cfefd,2026-06-01,true
002050,20240126,21.79,21.79,20.97,21.32,563782.5,1209451.468,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/core12_daily_price_bar.csv,a0c457d1b0664de1033d0da4a6ba782578ab068f4307a0ac5c84c4fe927cfefd,2026-06-01,true
002050,20240129,21.25,21.28,20.67,20.81,352625.67,738485.472,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/core12_daily_price_bar.csv,a0c457d1b0664de1033d0da4a6ba782578ab068f4307a0ac5c84c4fe927cfefd,2026-06-01,true
002050,20240130,20.96,21.81,20.61,20.61,411671.71,869065.928,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/core12_daily_price_bar.csv,a0c457d1b0664de1033d0da4a6ba782578ab068f4307a0ac5c84c4fe927cfefd,2026-06-01,true
002050,20240131,20.61,21.7,20.6,21.0,563122.88,1187802.497,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/core12_daily_price_bar.csv,a0c457d1b0664de1033d0da4a6ba782578ab068f4307a0ac5c84c4fe927cfefd,2026-06-01,true
002050,20240201,20.93,22.0,20.72,21.6,421145.52,908147.947,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/core12_daily_price_bar.csv,a0c457d1b0664de1033d0da4a6ba782578ab068f4307a0ac5c84c4fe927cfefd,2026-06-01,true
002050,20240202,21.6,21.69,20.48,21.1,432001.01,912094.132,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/core12_daily_price_bar.csv,a0c457d1b0664de1033d0da4a6ba782578ab068f4307a0ac5c84c4fe927cfefd,2026-06-01,true
002050,20240205,20.67,20.99,19.77,20.3,573136.76,1169453.21,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/core12_daily_price_bar.csv,a0c457d1b0664de1033d0da4a6ba782578ab068f4307a0ac5c84c4fe927cfefd,2026-06-01,true
002050,20240206,20.29,22.08,20.09,21.95,473437.6,1012896.757,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/core12_daily_price_bar.csv,a0c457d1b0664de1033d0da4a6ba782578ab068f4307a0ac5c84c4fe927cfefd,2026-06-01,true
