exchange,trade_date,is_open,source_name,source_type,source_file,source_hash,as_of_date
STAR,20240518,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240519,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240520,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240521,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240522,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240523,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240524,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240525,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240526,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240527,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240528,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240529,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240530,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240531,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240601,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240602,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240603,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240604,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240605,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240606,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240607,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240608,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240609,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240610,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240611,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240612,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240613,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240614,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240615,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240616,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240617,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240618,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240619,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240620,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240621,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
STAR,20240622,false,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/trading_calendar.csv,6a8fa077e9b7167a9881e46b1f1f2d44aec53828132fc047aa82af373cb306a5,2026-06-01
