ticker,name,sector,industry,sector_code,theme,market,list_date,source_file
300457,赢合科技,专用机械,专用机械,专用机械,,,20150514,data/tushare/stock_basic.csv
603968,醋化股份,化工原料,化工原料,化工原料,,,20150518,data/tushare/stock_basic.csv
300548,长芯博创,通信设备,通信设备,通信设备,,,20161012,data/tushare/stock_basic.csv
300451,创业慧康,软件服务,软件服务,软件服务,,,20150514,data/tushare/stock_basic.csv
300564,筑博设计,建筑工程,建筑工程,建筑工程,,,20191108,data/tushare/stock_basic.csv
300560,中富通,通信设备,通信设备,通信设备,,,20161101,data/tushare/stock_basic.csv
300561,汇金科技,软件服务,软件服务,软件服务,,,20161117,data/tushare/stock_basic.csv
300550,和仁科技,软件服务,软件服务,软件服务,,,20161018,data/tushare/stock_basic.csv
300394,天孚通信,通信设备,通信设备,通信设备,,,20150217,data/tushare/stock_basic.csv
300938,信测标准,电器仪表,电器仪表,电器仪表,,,20210127,data/tushare/stock_basic.csv
300556,丝路视觉,软件服务,软件服务,软件服务,,,20161104,data/tushare/stock_basic.csv
300538,同益股份,塑料,塑料,塑料,,,20160826,data/tushare/stock_basic.csv
300551,古鳌科技,软件服务,软件服务,软件服务,,,20161018,data/tushare/stock_basic.csv
300569,天能重工,电气设备,电气设备,电气设备,,,20161125,data/tushare/stock_basic.csv
300631,久吾高科,环境保护,环境保护,环境保护,,,20170323,data/tushare/stock_basic.csv
300515,三德科技,电器仪表,电器仪表,电器仪表,,,20160608,data/tushare/stock_basic.csv
300553,集智股份,电器仪表,电器仪表,电器仪表,,,20161021,data/tushare/stock_basic.csv
300847,中船汉光,化工原料,化工原料,化工原料,,,20200709,data/tushare/stock_basic.csv
300540,蜀道装备,专用机械,专用机械,专用机械,,,20160823,data/tushare/stock_basic.csv
300558,贝达药业,化学制药,化学制药,化学制药,,,20161107,data/tushare/stock_basic.csv
300541,先进数通,软件服务,软件服务,软件服务,,,20160913,data/tushare/stock_basic.csv
603559,ST通脉,通信设备,通信设备,通信设备,,,20161202,data/tushare/stock_basic.csv
601858,中国科传,出版业,出版业,出版业,,,20170118,data/tushare/stock_basic.csv
603239,浙江仙通,汽车配件,汽车配件,汽车配件,,,20161230,data/tushare/stock_basic.csv
603186,华正新材,元器件,元器件,元器件,,,20170103,data/tushare/stock_basic.csv
603716,塞力医疗,医药商业,医药商业,医药商业,,,20161031,data/tushare/stock_basic.csv
603888,新华网,互联网,互联网,互联网,,,20161028,data/tushare/stock_basic.csv
603416,信捷电气,电器仪表,电器仪表,电器仪表,,,20161221,data/tushare/stock_basic.csv
603633,徕木股份,汽车配件,汽车配件,汽车配件,,,20161117,data/tushare/stock_basic.csv
603098,森特股份,装修装饰,装修装饰,装修装饰,,,20161216,data/tushare/stock_basic.csv
603669,灵康药业,化学制药,化学制药,化学制药,,,20150528,data/tushare/stock_basic.csv
601163,三角轮胎,汽车配件,汽车配件,汽车配件,,,20160909,data/tushare/stock_basic.csv
603505,金石资源,化工原料,化工原料,化工原料,,,20170503,data/tushare/stock_basic.csv
603708,家家悦,超市连锁,超市连锁,超市连锁,,,20161213,data/tushare/stock_basic.csv
002865,钧达股份,电气设备,电气设备,电气设备,,,20170425,data/tushare/stock_basic.csv
002836,新宏泽,广告包装,广告包装,广告包装,,,20161229,data/tushare/stock_basic.csv
002842,翔鹭钨业,小金属,小金属,小金属,,,20170119,data/tushare/stock_basic.csv
002824,和胜股份,铝,铝,铝,,,20170112,data/tushare/stock_basic.csv
603983,丸美生物,日用化工,日用化工,日用化工,,,20190725,data/tushare/stock_basic.csv
603203,快克智能,专用机械,专用机械,专用机械,,,20161108,data/tushare/stock_basic.csv
603035,常熟汽饰,汽车配件,汽车配件,汽车配件,,,20170105,data/tushare/stock_basic.csv
603727,博迈科,石油开采,石油开采,石油开采,,,20161122,data/tushare/stock_basic.csv
300458,全志科技,半导体,半导体,半导体,,,20150515,data/tushare/stock_basic.csv
300413,芒果超媒,影视音像,影视音像,影视音像,,,20150121,data/tushare/stock_basic.csv
300481,濮阳惠成,化工原料,化工原料,化工原料,,,20150630,data/tushare/stock_basic.csv
300408,三环集团,元器件,元器件,元器件,,,20141203,data/tushare/stock_basic.csv
600908,无锡银行,银行,银行,银行,,,20160923,data/tushare/stock_basic.csv
002839,张家港行,银行,银行,银行,,,20170124,data/tushare/stock_basic.csv
601229,上海银行,银行,银行,银行,,,20161116,data/tushare/stock_basic.csv
603323,苏农银行,银行,银行,银行,,,20161129,data/tushare/stock_basic.csv
600919,江苏银行,银行,银行,银行,,,20160802,data/tushare/stock_basic.csv
002807,江阴银行,银行,银行,银行,,,20160902,data/tushare/stock_basic.csv
601128,常熟银行,银行,银行,银行,,,20160930,data/tushare/stock_basic.csv
601997,贵阳银行,银行,银行,银行,,,20160816,data/tushare/stock_basic.csv
600926,杭州银行,银行,银行,银行,,,20161027,data/tushare/stock_basic.csv
601838,成都银行,银行,银行,银行,,,20180131,data/tushare/stock_basic.csv
603322,超讯通信,通信设备,通信设备,通信设备,,,20160728,data/tushare/stock_basic.csv
300582,英飞特,元器件,元器件,元器件,,,20161228,data/tushare/stock_basic.csv
300557,理工光科,电器仪表,电器仪表,电器仪表,,,20161101,data/tushare/stock_basic.csv
603336,宏辉果蔬,农业综合,农业综合,农业综合,,,20161124,data/tushare/stock_basic.csv
300623,捷捷微电,半导体,半导体,半导体,,,20170314,data/tushare/stock_basic.csv
002840,华统股份,食品,食品,食品,,,20170110,data/tushare/stock_basic.csv
601881,中国银河,证券,证券,证券,,,20170123,data/tushare/stock_basic.csv
603797,联泰环保,环境保护,环境保护,环境保护,,,20170413,data/tushare/stock_basic.csv
300563,神宇股份,通信设备,通信设备,通信设备,,,20161114,data/tushare/stock_basic.csv
300624,万兴科技,软件服务,软件服务,软件服务,,,20180118,data/tushare/stock_basic.csv
002833,弘亚数控,专用机械,专用机械,专用机械,,,20161228,data/tushare/stock_basic.csv
300657,弘信电子,元器件,元器件,元器件,,,20170523,data/tushare/stock_basic.csv
300562,乐心医疗,医疗保健,医疗保健,医疗保健,,,20161116,data/tushare/stock_basic.csv
300565,科信技术,通信设备,通信设备,通信设备,,,20161122,data/tushare/stock_basic.csv
603585,苏利股份,农药化肥,农药化肥,农药化肥,,,20161214,data/tushare/stock_basic.csv
002831,裕同科技,广告包装,广告包装,广告包装,,,20161216,data/tushare/stock_basic.csv
002845,同兴达,元器件,元器件,元器件,,,20170125,data/tushare/stock_basic.csv
603517,ST绝味,食品,食品,食品,,,20170317,data/tushare/stock_basic.csv
603990,麦迪科技,软件服务,软件服务,软件服务,,,20161208,data/tushare/stock_basic.csv
603577,汇金通,电气设备,电气设备,电气设备,,,20161222,data/tushare/stock_basic.csv
603298,杭叉集团,工程机械,工程机械,工程机械,,,20161227,data/tushare/stock_basic.csv
603668,天马科技,饲料,饲料,饲料,,,20170117,data/tushare/stock_basic.csv
603966,DR法兰泰,专用机械,专用机械,专用机械,,,20170125,data/tushare/stock_basic.csv
300587,天铁科技,橡胶,橡胶,橡胶,,,20170105,data/tushare/stock_basic.csv
300575,中旗股份,农药化肥,农药化肥,农药化肥,,,20161220,data/tushare/stock_basic.csv
300504,天邑股份,通信设备,通信设备,通信设备,,,20180330,data/tushare/stock_basic.csv
603833,欧派家居,家居用品,家居用品,家居用品,,,20170328,data/tushare/stock_basic.csv
002837,英维克,专用机械,专用机械,专用机械,,,20161229,data/tushare/stock_basic.csv
300686,智动力,元器件,元器件,元器件,,,20170804,data/tushare/stock_basic.csv
300566,激智科技,元器件,元器件,元器件,,,20161115,data/tushare/stock_basic.csv
300567,精测电子,电器仪表,电器仪表,电器仪表,,,20161122,data/tushare/stock_basic.csv
002857,三晖电气,电器仪表,电器仪表,电器仪表,,,20170323,data/tushare/stock_basic.csv
002848,*ST高斯,家用电器,家用电器,家用电器,,,20170213,data/tushare/stock_basic.csv
002841,视源股份,元器件,元器件,元器件,,,20170119,data/tushare/stock_basic.csv
603637,镇海股份,建筑工程,建筑工程,建筑工程,,,20170208,data/tushare/stock_basic.csv
603877,太平鸟,服饰,服饰,服饰,,,20170109,data/tushare/stock_basic.csv
603928,兴业股份,化工原料,化工原料,化工原料,,,20161212,data/tushare/stock_basic.csv
603086,先达股份,农药化肥,农药化肥,农药化肥,,,20170511,data/tushare/stock_basic.csv
603218,日月股份,电气设备,电气设备,电气设备,,,20161228,data/tushare/stock_basic.csv
603823,百合花,染料涂料,染料涂料,染料涂料,,,20161220,data/tushare/stock_basic.csv
603228,景旺电子,元器件,元器件,元器件,,,20170106,data/tushare/stock_basic.csv
002960,青鸟智控,专用机械,专用机械,专用机械,,,20190809,data/tushare/stock_basic.csv
300615,欣天科技,通信设备,通信设备,通信设备,,,20170215,data/tushare/stock_basic.csv
603638,艾迪精密,专用机械,专用机械,专用机械,,,20170120,data/tushare/stock_basic.csv
603579,荣泰健康,家用电器,家用电器,家用电器,,,20170111,data/tushare/stock_basic.csv
603677,奇精机械,家用电器,家用电器,家用电器,,,20170206,data/tushare/stock_basic.csv
002858,力盛体育,文教休闲,文教休闲,文教休闲,,,20170324,data/tushare/stock_basic.csv
603177,德创环保,环境保护,环境保护,环境保护,,,20170207,data/tushare/stock_basic.csv
603538,美诺华,化学制药,化学制药,化学制药,,,20170407,data/tushare/stock_basic.csv
601020,华钰矿业,铅锌,铅锌,铅锌,,,20160316,data/tushare/stock_basic.csv
300682,朗新科技,软件服务,软件服务,软件服务,,,20170801,data/tushare/stock_basic.csv
603039,泛微网络,软件服务,软件服务,软件服务,,,20170113,data/tushare/stock_basic.csv
603037,凯众股份,汽车配件,汽车配件,汽车配件,,,20170120,data/tushare/stock_basic.csv
603811,诚意药业,化学制药,化学制药,化学制药,,,20170315,data/tushare/stock_basic.csv
601375,中原证券,证券,证券,证券,,,20170103,data/tushare/stock_basic.csv
603881,数据港,软件服务,软件服务,软件服务,,,20170208,data/tushare/stock_basic.csv
603626,科森科技,元器件,元器件,元器件,,,20170209,data/tushare/stock_basic.csv
002850,科达利,电气设备,电气设备,电气设备,,,20170302,data/tushare/stock_basic.csv
002861,瀛通通讯,元器件,元器件,元器件,,,20170413,data/tushare/stock_basic.csv
300606,金太阳,机械基件,机械基件,机械基件,,,20170208,data/tushare/stock_basic.csv
300619,金银河,专用机械,专用机械,专用机械,,,20170301,data/tushare/stock_basic.csv
603303,得邦照明,家用电器,家用电器,家用电器,,,20170330,data/tushare/stock_basic.csv
601228,广州港,港口,港口,港口,,,20170329,data/tushare/stock_basic.csv
300580,贝斯特,汽车配件,汽车配件,汽车配件,,,20170111,data/tushare/stock_basic.csv
603358,华达科技,汽车配件,汽车配件,汽车配件,,,20170125,data/tushare/stock_basic.csv
603038,华立股份,家居用品,家居用品,家居用品,,,20170116,data/tushare/stock_basic.csv
603040,新坐标,汽车配件,汽车配件,汽车配件,,,20170209,data/tushare/stock_basic.csv
300578,会畅科技,通信设备,通信设备,通信设备,,,20170125,data/tushare/stock_basic.csv
300571,平治信息,互联网,互联网,互联网,,,20161213,data/tushare/stock_basic.csv
300598,诚迈科技,软件服务,软件服务,软件服务,,,20170120,data/tushare/stock_basic.csv
002867,周大生,服饰,服饰,服饰,,,20170427,data/tushare/stock_basic.csv
603165,荣晟环保,造纸,造纸,造纸,,,20170117,data/tushare/stock_basic.csv
603839,安正时尚,服饰,服饰,服饰,,,20170214,data/tushare/stock_basic.csv
603360,百傲化学,农药化肥,农药化肥,农药化肥,,,20170206,data/tushare/stock_basic.csv
